n,n_positive,base_rate,threshold,auroc,auprc,auprc_lift_over_base,brier,brier_skill_score,log_loss,balanced_accuracy,accuracy,mcc,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,specificity,false_positive_rate,false_negative_rate,recall_stress,precision_stress,false_alarms_per_year,alerts_per_year,model,feature_set,horizon,target,n_folds,n_features_candidate,n_features,effective_sample_size,variant,brier_vs_market_only,auprc_vs_market_only,improves_brier
1323,177,0.13378684807256236,0.281015345799441,0.5153444552903245,0.15508291094842835,1.1591790462416425,0.14165815922074398,-0.2223720145269994,0.6243692429953109,0.4981290856923123,0.7346938775510204,-0.003327300768883991,0.13135593220338984,0.1751412429378531,0.15012106537530268,941,205,146,31,0.8211169284467714,0.17888307155322863,0.8248587570621468,0.1751412429378531,0.13135593220338984,39.04761904761905,44.95238095238095,hist_gradient_boosting,residual_return_graph,20,ablation_residual_return_graph,21,330,60.0,66.15,residual_return_graph,-0.04675295846131447,0.04422181333852292,True
1323,177,0.13378684807256236,0.264,0.4166025773754942,0.11880864054570303,0.8880442454348312,0.15633864442493528,-0.34905031087078897,0.6909917305808161,0.44816162333244597,0.6439909297052154,-0.07944291305051562,0.0893854748603352,0.1807909604519774,0.11962616822429907,820,326,145,32,0.7155322862129145,0.2844677137870855,0.8192090395480226,0.1807909604519774,0.0893854748603352,62.095238095238095,68.19047619047619,hist_gradient_boosting,graph_only,20,ablation_graph_only,21,664,60.0,66.15,graph_only,-0.032072473257123174,0.007947542935797594,True
1323,177,0.13378684807256236,0.264,0.4166025773754942,0.11880864054570303,0.8880442454348312,0.15633864442493528,-0.34905031087078897,0.6909917305808161,0.44816162333244597,0.6439909297052154,-0.07944291305051562,0.0893854748603352,0.1807909604519774,0.11962616822429907,820,326,145,32,0.7155322862129145,0.2844677137870855,0.8192090395480226,0.1807909604519774,0.0893854748603352,62.095238095238095,68.19047619047619,hist_gradient_boosting,multi_scale,20,ablation_multi_scale,21,664,60.0,66.15,multi_scale,-0.032072473257123174,0.007947542935797594,True
1323,177,0.13378684807256236,0.2619047619047619,0.4801052050364323,0.12660754764414744,0.9463377713740513,0.16471812057715993,-0.4213570329206957,0.6926826640817685,0.4390436891767977,0.6447467876039304,-0.09417495484673644,0.08022922636103152,0.15819209039548024,0.10646387832699619,825,321,149,28,0.7198952879581152,0.2801047120418848,0.8418079096045198,0.15819209039548024,0.08022922636103152,61.142857142857146,66.47619047619048,hist_gradient_boosting,single_scale_120,20,ablation_single_scale_120,21,132,60.0,66.15,single_scale_120,-0.023692997104898528,0.015746450034242007,True
1323,177,0.13378684807256236,0.26274030772310025,0.38909841157156805,0.1065300239502058,0.7962667891871316,0.16719956668007063,-0.44276949718283864,0.8926890951106553,0.42797349661312745,0.6462585034013606,-0.11255061222102891,0.06824925816023739,0.12994350282485875,0.08949416342412451,832,314,154,23,0.7260034904013961,0.27399650959860383,0.8700564971751412,0.12994350282485875,0.06824925816023739,59.80952380952381,64.19047619047619,hist_gradient_boosting,correlation_graph,20,ablation_correlation_graph,21,132,60.0,66.15,correlation_graph,-0.02121155100198782,-0.004331073659699633,True
1323,177,0.13378684807256236,0.18317500357152075,0.3872176373729307,0.10599393891867248,0.7922597807310943,0.17807843261593165,-0.5366435199919692,0.8160940438626347,0.40515277901026414,0.5570672713529856,-0.13436760253058153,0.07306889352818371,0.1977401129943503,0.10670731707317073,702,444,142,35,0.612565445026178,0.387434554973822,0.8022598870056498,0.1977401129943503,0.07306889352818371,84.57142857142857,91.23809523809524,hist_gradient_boosting,partial_correlation_graph,20,ablation_partial_correlation_graph,21,528,60.0,66.15,partial_correlation_graph,-0.010332685066126807,-0.004867158691232956,True
1323,177,0.13378684807256236,0.294596314271176,0.31577533252482226,0.09354022428027214,0.69917354080678,0.17849799001896927,-0.5402638919548834,0.9168998056160301,0.3938459490638034,0.6326530612244898,-0.16653510511475625,0.036036036036036036,0.06779661016949153,0.047058823529411764,825,321,165,12,0.7198952879581152,0.2801047120418848,0.9322033898305084,0.06779661016949153,0.036036036036036036,61.142857142857146,63.42857142857143,hist_gradient_boosting,raw_return_graph,20,ablation_raw_return_graph,21,330,60.0,66.15,raw_return_graph,-0.009913127663089188,-0.017320873329633293,True
1323,177,0.13378684807256236,0.156312566511175,0.4500719772039321,0.1204639695771258,0.9004171285341097,0.1788271544096762,-0.5431042602160014,0.9856250387979595,0.5149747093797143,0.6190476190476191,0.02141924341215368,0.1437908496732026,0.3728813559322034,0.20754716981132076,753,393,111,66,0.6570680628272252,0.34293193717277487,0.6271186440677966,0.3728813559322034,0.1437908496732026,74.85714285714286,87.42857142857143,hist_gradient_boosting,no_community_features,20,ablation_no_community_features,21,550,60.0,66.15,no_community_features,-0.009583963272382257,0.009602871967220358,True
1323,177,0.13378684807256236,0.325,0.42610258230543974,0.11728511917492004,0.8766565687481311,0.18384648088763503,-0.5864161615719297,0.899710919080799,0.46175348300647795,0.6923658352229781,-0.06358444868028536,0.09219858156028368,0.14689265536723164,0.11328976034858387,890,256,151,26,0.7766143106457243,0.22338568935427575,0.8531073446327684,0.14689265536723164,0.09219858156028368,48.76190476190476,53.714285714285715,hist_gradient_boosting,no_centrality_features,20,ablation_no_centrality_features,21,610,60.0,66.15,no_centrality_features,-0.004564636794423427,0.0064240215650146065,True
1323,177,0.13378684807256236,0.17453324952123292,0.4179928219993887,0.11299412395222899,0.8445831976768302,0.18739199553282848,-0.6170105015183254,0.8746193561785415,0.472239477031384,0.5532879818594104,-0.03843363140904364,0.11808118081180811,0.3615819209039548,0.1780250347705146,668,478,113,64,0.5828970331588132,0.41710296684118675,0.6384180790960452,0.3615819209039548,0.11808118081180811,91.04761904761905,103.23809523809524,hist_gradient_boosting,market_plus_graph,20,ablation_market_plus_graph,21,700,60.0,66.15,market_plus_graph,-0.001019122149229973,0.0021330263423235546,True
