method,horizon,coverage,width,winkler
raw,5,0.8036144578313253,7.315669969047408,14.341037744020593
raw,20,0.7385542168674699,14.065790445115192,35.653098140748526
raw,60,0.7662650602409639,27.718626559211547,62.14645328956121
static,5,0.9144578313253012,10.160084299060133,13.373219211584
static,20,0.8614457831325302,20.726332201308935,29.51437167919301
static,60,0.863855421686747,39.23203159297468,52.271580235444205
rolling,5,0.8891566265060241,10.140494302264678,13.458209626713664
rolling,20,0.8409638554216867,21.831529346270067,33.09611003897035
rolling,60,0.8481927710843373,38.91018025363803,61.56725439015882
adaptive,5,0.8951807228915662,10.164881154759327,13.409626598036356
adaptive,20,0.8554216867469879,24.34808220792288,34.62746371794924
adaptive,60,0.8530120481927711,39.91222306896317,62.14605037395571
