date,open,high,low,close,volume
2004-12-10,229.6,230.1,230.1,230.1,510830.0
2005-12-20,313.7,314.2,313.7,311.8,1086280.0
2010-09-17,451.5,453.8,450.6,457.6,46400128.0
2020-06-09,902.26,904.89,898.87,898.68,450504992.0
2023-10-30,1054.03,1060.39,1042.4,1042.35,465836928.0
2024-05-02,1212.13,1215.58,1206.28,1216.3600000000001,513763808.0
2024-05-06,1226.8899999999999,1241.21,1224.22,1241.58,666198272.0
2024-05-23,1265.6,1277.19,1262.29,1281.03,833708992.0
2024-05-27,1263.46,1267.1,1257.27,1267.68,598637504.0
2024-05-28,1272.23,1279.92,1269.37,1281.73,744100480.0
2024-06-05,1287.12,1293.93,1285.37,1284.35,810156416.0
2024-07-01,1246.33,1253.8,1240.07,1254.56,432927808.0
2024-07-10,1295.57,1297.96,1286.43,1285.94,678093568.0
2024-07-11,1291.1399999999999,1293.32,1284.99,1283.8,636332288.0
2024-07-23,1256.72,1258.74,1232.33,1231.81,662804800.0
2024-07-26,1235.21,1240.83,1234.05,1242.1100000000001,417284896.0
2024-08-02,1215.67,1233.8600000000001,1209.77,1236.6,657669696.0
2024-08-21,1272.34,1283.6,1268.91,1284.05,715821824.0
2024-09-16,1251.0,1255.42,1240.19,1239.26,453594688.0
2024-09-17,1240.0,1255.35,1238.69,1258.95,460745216.0
2024-09-19,1268.08,1270.51,1264.82,1271.27,477857408.0
2024-09-20,1277.73,1283.3,1273.42,1272.04,840427520.0
2024-10-17,1282.65,1283.87,1271.8600000000001,1286.52,617838976.0
2024-10-18,1291.16,1294.1,1285.95,1285.46,607857472.0
2024-10-24,1271.17,1274.1100000000001,1258.02,1257.41,592565376.0
2024-11-07,1266.6100000000001,1267.09,1259.9,1259.75,470366784.0
2024-11-19,1220.68,1221.4,1206.81,1205.15,437479200.0
2025-01-08,1246.16,1250.6100000000001,1239.67,1251.02,367537088.0
2025-01-13,1226.66,1234.07,1220.87,1235.65,434027008.0
2025-01-17,1242.38,1247.62,1239.63,1249.1100000000001,356902784.0
2025-02-04,1256.91,1264.53,1255.44,1264.68,584557312.0
2025-02-11,1265.44,1268.0,1263.1100000000001,1268.45,571767168.0
2025-02-21,1293.63,1296.73,1290.98,1296.75,667595328.0
2025-02-24,1298.3899999999999,1304.2,1294.69,1304.56,807662976.0
2025-03-06,1308.02,1317.44,1307.91,1318.22,983991296.0
2025-03-11,1319.17,1330.83,1315.92,1332.54,847458496.0
2025-03-17,1330.62,1335.4,1329.05,1336.26,837533312.0
2025-03-24,1322.9,1328.83,1316.73,1330.32,794985216.0
2025-04-04,1159.33,1207.63,1158.17,1210.67,1873634048.0
2025-04-11,1185.8600000000001,1222.06,1180.59,1222.46,1697947904.0
2025-04-17,1201.63,1216.4,1197.5,1217.25,697596224.0
2025-04-18,1228.37,1234.67,1222.93,1219.12,1039406272.0
