step,drawdown_mean,drawdown_median,drawdown_q025,drawdown_q05,drawdown_q10,drawdown_q25,drawdown_q75,drawdown_q90,drawdown_q95,drawdown_q975,drawdown_lower_50,drawdown_upper_50,drawdown_lower_80,drawdown_upper_80,drawdown_lower_90,drawdown_upper_90,drawdown_lower_95,drawdown_upper_95,running_mdd_mean,running_mdd_median,running_mdd_q90,running_mdd_q95,running_mdd_q99,probability_breach_3,probability_breach_5,probability_breach_7,probability_breach_10,probability_breach_15,anchor_mode,estimated_trading_date
1,0.003673958954145185,0.0,0.0,0.0,0.0,0.0,0.005127018135533845,0.012359931190649376,0.01718748328708508,0.022960364793321864,0.0,0.005127018135533845,0.0,0.012359931190649376,0.0,0.01718748328708508,0.0,0.022960364793321864,0.003673958954145185,0.0,0.012359931190649376,0.01718748328708508,0.029857932106547858,0.009675,0.0006,0.0,0.0,0.0,origin_peak,2026-07-14
2,0.0064811308216969265,0.0015642982374476366,0.0,0.0,0.0,0.0,0.009940550813065357,0.019788298886959196,0.026574326570121657,0.03384494463568836,0.0,0.009940550813065357,0.0,0.019788298886959196,0.0,0.026574326570121657,0.0,0.03384494463568836,0.00755716790921256,0.003915183084832241,0.02074530600622171,0.027436771585883427,0.04253558075666586,0.040575,0.0054,0.000275,2.5e-05,0.0,origin_peak,2026-07-15
3,0.008828387044552782,0.0038154364224310955,0.0,0.0,0.0,0.0,0.013695304925467583,0.025482387154969442,0.03359222588964085,0.04136254513501189,0.0,0.013695304925467583,0.0,0.025482387154969442,0.0,0.03359222588964085,0.0,0.04136254513501189,0.011161945860920498,0.007734597102030505,0.0273829919166383,0.03540178398843787,0.053634298614335885,0.08155,0.014025,0.001975,5e-05,0.0,origin_peak,2026-07-16
4,0.01084358667723148,0.005556639940700214,0.0,0.0,0.0,0.0,0.01705532612722832,0.03034989862762486,0.03963176323942857,0.048351855405644045,0.0,0.01705532612722832,0.0,0.03034989862762486,0.0,0.03963176323942857,0.0,0.048351855405644045,0.014452900678513169,0.010822271732647104,0.033047353484170025,0.04169459982346613,0.06030824803297068,0.128425,0.026425,0.00415,0.0001,0.0,origin_peak,2026-07-17
5,0.012544808738008994,0.007144412675236578,0.0,0.0,0.0,0.0,0.019822946785469503,0.03450327655076942,0.04412253614198434,0.053306286495969704,0.0,0.019822946785469503,0.0,0.03450327655076942,0.0,0.04412253614198434,0.0,0.053306286495969704,0.017338477238639478,0.013592709654321578,0.0378796983826102,0.04725318738506272,0.06729808153637656,0.17715,0.042,0.00785,0.0002,0.0,origin_peak,2026-07-20
6,0.014107846742758895,0.008497126993222415,0.0,0.0,0.0,0.0,0.022184486582917468,0.037901639543793705,0.048119264045767475,0.05744060872887634,0.0,0.022184486582917468,0.0,0.037901639543793705,0.0,0.048119264045767475,0.0,0.05744060872887634,0.020018145500653468,0.016011559041985923,0.04199661309464235,0.05218909486616529,0.072503367649278,0.22315,0.058725,0.012725,0.000575,2.5e-05,origin_peak,2026-07-21
7,0.015560859459902219,0.009728295081448568,0.0,0.0,0.0,0.0,0.024414480513415132,0.04128180737179765,0.051745042367179514,0.0617435084418779,0.0,0.024414480513415132,0.0,0.04128180737179765,0.0,0.051745042367179514,0.0,0.0617435084418779,0.022517418138372432,0.018476298743069164,0.046180809812896316,0.05638977089506453,0.07740864585028397,0.268825,0.077775,0.018425,0.001275,2.5e-05,origin_peak,2026-07-22
8,0.016944060201870143,0.010952055368826485,0.0,0.0,0.0,0.0,0.026696485265920528,0.044046870890807346,0.055468759553044186,0.0653000748004723,0.0,0.026696485265920528,0.0,0.044046870890807346,0.0,0.055468759553044186,0.0,0.0653000748004723,0.024836986125688045,0.020661924539314924,0.049828847698666114,0.05996870795175613,0.08156618830203537,0.312875,0.09895,0.0256,0.002225,5e-05,origin_peak,2026-07-23
9,0.018259039856015048,0.012297740739152074,0.0,0.0,0.0,0.00043374881131219567,0.02851943292936876,0.0469139454668821,0.05903406807210758,0.06924744129929002,0.00043374881131219567,0.02851943292936876,0.0,0.0469139454668821,0.0,0.05903406807210758,0.0,0.06924744129929002,0.02703115532649465,0.022645234031266892,0.053335277227916866,0.06398864943828625,0.08660677055411947,0.3537,0.1211,0.03355,0.003275,0.0001,origin_peak,2026-07-24
10,0.01935214837702371,0.013080179537548309,0.0,0.0,0.0,0.0007983499459129628,0.030156708149664396,0.04913998664356647,0.06202177423704261,0.07324285350224513,0.0007983499459129628,0.030156708149664396,0.0,0.04913998664356647,0.0,0.06202177423704261,0.0,0.07324285350224513,0.02906095254062945,0.024564994773048854,0.056397264018819185,0.06794470685056699,0.09054037333301147,0.3922,0.14195,0.04315,0.00495,0.0001,origin_peak,2026-07-27
11,0.02043688330556251,0.013988455669984745,0.0,0.0,0.0,0.0013616723370034334,0.0319172365135553,0.051743166363991906,0.06454282286287391,0.07658437952545982,0.0013616723370034334,0.0319172365135553,0.0,0.051743166363991906,0.0,0.06454282286287391,0.0,0.07658437952545982,0.03098263674720869,0.026344560201728928,0.059048344660569886,0.07102292142953456,0.09427400010912815,0.430025,0.1637,0.0534,0.006875,0.00015,origin_peak,2026-07-28
