horizon,anchor_mode,level,method,selected_conformal_method,upper_bound_coverage,coverage_error,average_upper_bound,pinball_loss,exceedance_lag1_correlation
1,origin_peak,0.8,hybrid_direct_drawdown_conformal,volatility_stratified,0.7768526228143214,-0.023147377185678608,0.006383579924757594,0.0025332441446359474,0.09318350909129602
1,origin_peak,0.9,hybrid_direct_drawdown_conformal,volatility_stratified,0.8817651956702748,-0.01823480432972524,0.012543328283583772,0.0019264518840515466,0.10667873923235552
1,origin_peak,0.95,hybrid_direct_drawdown_conformal,volatility_regime,0.9641965029142381,0.01419650291423813,0.022386419168066173,0.0013053764081031442,0.03647057466700434
1,origin_peak,0.99,hybrid_direct_drawdown_conformal,volatility_regime,0.9975020815986678,0.007502081598667831,0.047236722750385526,0.0004786340450412175,-0.002506265664160419
1,historical_peak,0.8,hybrid_direct_drawdown_conformal,volatility_stratified,0.7801831806827644,-0.019816819317235668,0.1634186561843,0.0027933827126698334,0.10280131535078137
1,historical_peak,0.9,hybrid_direct_drawdown_conformal,global,0.8800999167360533,-0.019900083263946766,0.16874494359569206,0.001948148647278134,0.11746173987937714
1,historical_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9600333055786844,0.010033305578684426,0.17556583569567308,0.0012543212377287979,0.09031669174799078
1,historical_peak,0.99,hybrid_direct_drawdown_conformal,volatility_regime,0.9975020815986678,0.007502081598667831,0.1979520452615607,0.0004425783435462458,-0.002506265664160419
5,origin_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_regime,0.8362573099415205,0.03625730994152043,0.03305866192262529,0.00618672320324754,0.7095606735867237
5,origin_peak,0.9,hybrid_direct_drawdown_conformal,current_drawdown_regime,0.9172932330827067,0.017293233082706694,0.0457320059300034,0.0044174962930631275,0.713672734639007
5,origin_peak,0.95,hybrid_direct_drawdown_conformal,volatility_regime,0.9615705931495405,0.011570593149540565,0.06064573166525245,0.002909599468007655,0.59304347826087
5,origin_peak,0.99,hybrid_direct_drawdown_conformal,volatility_stratified,0.9933166248955723,0.0033166248955722732,0.09097603929759221,0.0010679222058419422,0.7483164983164975
5,historical_peak,0.8,hybrid_direct_drawdown_conformal,volatility_stratified,0.7794486215538847,-0.02055137844611532,0.18013587377587667,0.0057512343277797175,0.6714492808843713
5,historical_peak,0.9,hybrid_direct_drawdown_conformal,regime_stratified,0.9206349206349206,0.02063492063492056,0.19427870732066901,0.003969011612605766,0.6798317319183542
5,historical_peak,0.95,hybrid_direct_drawdown_conformal,volatility_regime,0.9632414369256475,0.013241436925647498,0.20694929294184608,0.0025916333041506004,0.5752840909090917
5,historical_peak,0.99,hybrid_direct_drawdown_conformal,volatility_regime,0.9941520467836257,0.004152046783625685,0.2372441995914395,0.0009069786550060964,0.7126036284993388
10,origin_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_regime,0.8137583892617449,0.013758389261744886,0.050834423205908245,0.008871380305520685,0.8339051125428839
10,origin_peak,0.9,hybrid_direct_drawdown_conformal,volatility_regime,0.9194630872483222,0.01946308724832213,0.07116390038661516,0.0065425839639867015,0.8073915525114151
10,origin_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9639261744966443,0.01392617449664435,0.09418027037003135,0.004419472365699844,0.7828579531642493
10,origin_peak,0.99,hybrid_direct_drawdown_conformal,volatility_stratified,0.9899328859060402,-6.711409395976364e-05,0.13487127659752143,0.0017522228255536644,0.8316369804919412
10,historical_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_regime,0.8129194630872483,0.012919463087248229,0.19702666254803633,0.00814494735473538,0.7958575769929214
10,historical_peak,0.9,hybrid_direct_drawdown_conformal,volatility_regime,0.915268456375839,0.015268456375838957,0.21395523265375904,0.005888956906444432,0.7619947315832514
10,historical_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9639261744966443,0.01392617449664435,0.2344007630840808,0.0039897332827317665,0.7828579531642491
10,historical_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,0.9916107382550335,0.0016107382550335503,0.272971316517476,0.0014287693964203875,0.7983065198983987
20,origin_peak,0.8,hybrid_direct_drawdown_conformal,regime_stratified,0.8274111675126904,0.02741116751269035,0.08164947842432718,0.013766453808616182,0.8637134485319212
20,origin_peak,0.9,hybrid_direct_drawdown_conformal,volatility_regime,0.8942470389170897,-0.005752961082910346,0.10031208423336563,0.010085677607674268,0.919477272727272
20,origin_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9467005076142132,-0.003299492385786751,0.13562615197204378,0.006497421998381132,0.8993951784649459
20,origin_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,0.9923857868020305,0.0023857868020304984,0.23338574896717673,0.0018514412583380841,0.7760712931361318
20,historical_peak,0.8,hybrid_direct_drawdown_conformal,regime_stratified,0.7868020304568528,-0.013197969543147225,0.21140744945082698,0.012159579181218237,0.843614912775299
20,historical_peak,0.9,hybrid_direct_drawdown_conformal,volatility_regime,0.8976311336717429,-0.0023688663282571687,0.23673112809756863,0.009131842132792918,0.8710899734913458
20,historical_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9483925549915397,-0.0016074450084602177,0.2707456516982824,0.005949706611500341,0.8962822014051502
20,historical_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,0.9856175972927242,-0.0043824027072757454,0.3450911173403039,0.001679841712500358,0.9403173640590254
40,origin_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_stratified,0.8416523235800344,0.041652323580034345,0.12483817000784411,0.01983723140701977,0.9095834631302567
40,origin_peak,0.9,hybrid_direct_drawdown_conformal,regime_stratified,0.8967297762478486,-0.0032702237521514688,0.16511221175811766,0.014437813973447372,0.9163544668587887
40,origin_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9397590361445783,-0.010240963855421614,0.2256387581541881,0.008439019105733204,0.8935838680109989
40,origin_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,1.0,0.010000000000000009,0.3280871982805174,0.0025070173214212124,
40,historical_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_stratified,0.806368330464716,0.0063683304647159655,0.24251287175731254,0.01747859087001193,0.9007692307692309
40,historical_peak,0.9,hybrid_direct_drawdown_conformal,regime_stratified,0.8760757314974182,-0.02392426850258178,0.2770067882615893,0.013128549222016927,0.9048672566371684
40,historical_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9466437177280551,-0.0033562822719448437,0.34739675961065936,0.007594297919012458,0.8636883970765227
40,historical_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,1.0,0.010000000000000009,0.4227871580103544,0.0021168813261508803,
60,origin_peak,0.8,hybrid_direct_drawdown_conformal,current_drawdown_stratified,0.7933450087565674,-0.006654991243432606,0.15143080760832978,0.024943893361401105,0.9412351343758777
60,origin_peak,0.9,hybrid_direct_drawdown_conformal,regime_stratified,0.8765323992994746,-0.02346760070052545,0.21125105607171596,0.015570424467566995,0.9433546099290775
60,origin_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9816112084063048,0.031611208406304825,0.26989326972786376,0.009387226177266665,0.9029761904761907
60,origin_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,1.0,0.010000000000000009,0.41644280289247776,0.003182180383797195,
60,historical_peak,0.8,hybrid_direct_drawdown_conformal,regime_stratified,0.7679509632224168,-0.032049036777583195,0.2585212623852978,0.020792572080798037,0.9164426639097097
60,historical_peak,0.9,hybrid_direct_drawdown_conformal,regime_stratified,0.8949211908931699,-0.005078809106830118,0.33267899887400443,0.01388432808525461,0.9348106431602995
60,historical_peak,0.95,hybrid_direct_drawdown_conformal,regime_stratified,0.9798598949211909,0.0298598949211909,0.38062544182674896,0.008397953528140772,0.8668818542428248
60,historical_peak,0.99,hybrid_direct_drawdown_conformal,regime_stratified,1.0,0.010000000000000009,0.48619513873468984,0.0025909725457139545,
