metric,mean,standard_error,ci_lower,ci_upper,replications,mean_block_length
old_rmse,0.06717055779631705,0.00512240560166887,0.057116465235735873,0.07710221561089799,2000,20
new_rmse,0.05693242277836314,0.005152732781593057,0.0471117025528256,0.06747785501447535,2000,20
old_mae,0.05119027685312686,0.003977412444047871,0.04362264434370012,0.059291668539703614,2000,20
new_mae,0.04266851602613802,0.003875704045774158,0.03562121952811104,0.05102004218937671,2000,20
brier_score,0.6565021423668659,0.021136995882999304,0.6159860925857247,0.6978454375357026,2000,20
coverage_95,0.9529945008460236,0.019454769315146406,0.9103214890016921,0.9864636209813875,2000,20
old_coverage_95,0.8642796108291031,0.02613527243204016,0.8121827411167513,0.9111886632825718,2000,20
coverage_improvement,0.08871489001692047,0.01650732993768017,0.05752961082910324,0.12182741116751272,2000,20
interval_score_95,0.3544643314012333,0.030423612803838054,0.2995000416813773,0.4182784235326149,2000,20
old_interval_score_95,0.40941405010500287,0.06100345574481643,0.3015544131805973,0.5422894388852969,2000,20
interval_score_change,-0.05494971870376959,0.03751952238159262,-0.1350459474724161,0.010529023839227282,2000,20
var_exceedance_95,0.04694500846023688,0.02045014479399845,0.011844331641285956,0.09137055837563451,2000,20
expected_shortfall_calibration_error,-0.04812089339063535,0.019710144855903083,-0.08787617211529532,-0.011699941853990656,2000,20
drawdown_probability_5,0.37685617597292725,0.05676975414675335,0.26901438240270725,0.49494500846023676,2000,20
rmse_difference_new_minus_old,-0.01023813501795389,0.0030322466367304598,-0.016152821436491663,-0.004343997196317589,2000,20
mae_difference_new_minus_old,-0.008521760826988845,0.0021977856631739618,-0.012772367966465465,-0.004283436800921364,2000,20
